"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 09- 08","35,295,000","35,646,000","35,822,000","35,027,000","2.60K","-0.90%"
"2023- 09- 07","35,616,000","35,029,000","35,852,000","34,903,000","1.99K","1.68%"
"2023- 09- 06","35,026,000","35,054,000","35,300,000","34,730,000","2.11K","-0.09%"
"2023- 09- 05","35,056,000","35,035,000","35,206,000","34,791,000","3.03K","0.06%"
"2023- 09- 04","35,035,000","35,312,000","35,350,000","34,864,000","3.28K","-0.77%"
"2023- 09- 03","35,308,000","35,207,000","35,444,000","35,107,000","2.81K","0.30%"
"2023- 09- 02","35,204,000","35,344,000","35,568,000","35,006,000","6.33K","-0.40%"
"2023- 09- 01","35,344,000","35,500,000","35,695,000","35,000,000","5.52K","-0.45%"
"2023- 08- 31","35,502,000","37,110,000","37,500,000","35,400,000","5.09K","-4.33%"
"2023- 08- 30","37,110,000","37,441,000","37,563,000","36,762,000","4.50K","-0.88%"
"2023- 08- 29","37,440,000","35,301,000","37,930,000","35,138,000","6.99K","5.96%"
"2023- 08- 28","35,335,000","35,400,000","35,544,000","35,050,000","1.82K","-0.19%"
"2023- 08- 27","35,402,000","35,418,000","35,552,000","35,375,000","0.85K","0.01%"
"2023- 08- 26","35,398,000","35,479,000","35,563,000","35,385,000","0.67K","-0.23%"
"2023- 08- 25","35,478,000","35,635,000","35,784,000","35,200,000","2.12K","-0.43%"
"2023- 08- 24","35,630,000","35,941,000","36,055,000","35,331,000","1.90K","-0.89%"
"2023- 08- 23","35,951,000","35,684,000","36,348,000","35,323,000","2.24K","0.75%"
"2023- 08- 22","35,684,000","35,770,000","35,875,000","35,154,000","2.43K","-0.24%"
"2023- 08- 21","35,769,000","35,949,000","35,955,000","35,500,000","2.14K","-0.49%"
"2023- 08- 20","35,946,000","36,056,000","36,223,000","35,763,000","1.65K","-0.35%"
"2023- 08- 19","36,072,000","35,899,000","36,240,000","35,587,000","2.67K","0.48%"
"2023- 08- 18","35,901,000","36,588,000","36,839,000","35,384,000","9.26K","-1.87%"
"2023- 08- 17","36,587,000","39,001,000","39,090,000","36,270,000","9.22K","-6.19%"
"2023- 08- 16","39,003,000","39,404,000","39,600,000","39,003,000","4.14K","-1.00%"
"2023- 08- 15","39,397,000","39,313,000","39,666,000","39,275,000","3.38K","0.28%"
"2023- 08- 14","39,287,000","39,118,000","39,639,000","38,895,000","2.25K","0.43%"
"2023- 08- 13","39,118,000","39,306,000","39,330,000","39,101,000","1.32K","-0.42%"
"2023- 08- 12","39,283,000","39,233,000","39,316,000","39,100,000","1.45K","0.13%"
"2023- 08- 11","39,233,000","39,119,000","39,400,000","39,050,000","1.88K","0.32%"
"2023- 08- 10","39,109,000","39,209,000","39,395,000","39,010,000","2.71K","-0.26%"
"2023- 08- 09","39,209,000","39,416,000","39,850,000","39,076,000","3.30K","-0.58%"
"2023- 08- 08","39,437,000","38,622,000","39,579,000","38,575,000","3.96K","2.11%"
"2023- 08- 07","38,623,000","38,643,000","38,808,000","38,088,000","7.09K","0.05%"
"2023- 08- 06","38,604,000","38,470,000","38,788,000","38,432,000","3.52K","0.31%"
"2023- 08- 05","38,485,000","38,492,000","38,590,000","38,342,000","2.11K","-0.03%"
"2023- 08- 04","38,498,000","38,428,000","38,713,000","38,274,000","2.26K","0.10%"
"2023- 08- 03","38,459,000","38,355,000","38,791,000","38,216,000","2.03K","0.26%"
"2023- 08- 02","38,360,000","38,642,000","39,119,000","38,142,000","3.34K","-0.75%"
"2023- 08- 01","38,648,000","37,929,000","38,648,000","37,510,000","3.04K","1.90%"
"2023- 07- 31","37,929,000","37,848,000","38,138,000","37,809,000","2.38K","0.21%"
"2023- 07- 30","37,850,000","37,900,000","38,140,000","37,764,000","2.38K","-0.13%"
"2023- 07- 29","37,900,000","37,965,000","38,052,000","37,879,000","1.18K","-0.08%"
"2023- 07- 28","37,931,000","37,874,000","38,199,000","37,705,000","2.96K","0.13%"
"2023- 07- 27","37,880,000","37,926,000","38,298,000","37,845,000","3.27K","-0.12%"
"2023- 07- 26","37,926,000","37,910,000","38,300,000","37,702,000","2.48K","0.04%"
"2023- 07- 25","37,910,000","37,892,000","38,116,000","37,626,000","2.43K","0.05%"
"2023- 07- 24","37,892,000","38,946,000","39,016,000","37,710,000","4.40K","-2.71%"
"2023- 07- 23","38,949,000","38,759,000","39,209,000","38,627,000","2.21K","0.45%"
"2023- 07- 22","38,774,000","38,872,000","38,934,000","38,600,000","1.45K","-0.14%"
"2023- 07- 21","38,829,000","38,567,000","38,908,000","38,530,000","2.10K","0.68%"
"2023- 07- 20","38,567,000","38,323,000","39,099,000","38,316,000","3.25K","0.64%"
"2023- 07- 19","38,321,000","38,402,000","38,849,000","38,301,000","2.43K","-0.21%"
"2023- 07- 18","38,401,000","38,765,000","38,827,000","38,109,000","2.60K","-0.88%"
"2023- 07- 17","38,742,000","38,947,000","39,021,000","38,368,000","2.58K","-0.49%"
"2023- 07- 16","38,932,000","38,889,000","39,150,000","38,690,000","2.02K","0.13%"
"2023- 07- 15","38,881,000","39,091,000","39,142,000","38,787,000","2.90K","-0.54%"
