"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 12- 28","29,970.0","30,310.0","32,490.0","29,440.0","9.93M","-1.19%"
"2023- 12- 27","30,330.0","27,950.0","30,340.0","27,200.0","4.41M","8.52%"
"2023- 12- 26","27,950.0","28,560.0","28,590.0","27,020.0","1.94M","-2.14%"
"2023- 12- 25","28,560.0","28,110.0","28,930.0","27,740.0","1.81M","1.67%"
"2023- 12- 24","28,090.0","29,130.0","29,480.0","27,970.0","2.32M","-3.54%"
"2023- 12- 23","29,120.0","29,810.0","30,440.0","28,680.0","2.99M","-2.35%"
"2023- 12- 22","29,820.0","28,040.0","30,990.0","27,910.0","8.22M","6.31%"
"2023- 12- 21","28,050.0","27,430.0","28,440.0","27,190.0","1.46M","2.26%"
"2023- 12- 20","27,430.0","26,900.0","27,800.0","26,710.0","1.14M","1.93%"
"2023- 12- 19","26,910.0","27,180.0","27,500.0","26,550.0","978.25K","-0.99%"
"2023- 12- 18","27,180.0","27,400.0","27,520.0","25,650.0","1.96M","-0.84%"
"2023- 12- 17","27,410.0","28,360.0","28,390.0","27,260.0","993.69K","-3.42%"
"2023- 12- 16","28,380.0","27,630.0","28,500.0","27,270.0","1.05M","2.71%"
"2023- 12- 15","27,630.0","28,570.0","28,580.0","27,550.0","1.20M","-3.29%"
"2023- 12- 14","28,570.0","28,660.0","28,870.0","27,950.0","1.68M","-0.45%"
"2023- 12- 13","28,700.0","28,180.0","28,960.0","27,110.0","1.79M","1.88%"
"2023- 12- 12","28,170.0","27,900.0","28,400.0","27,570.0","2.27M","0.82%"
"2023- 12- 11","27,940.0","30,070.0","30,110.0","26,930.0","4.18M","-7.05%"
"2023- 12- 10","30,060.0","30,280.0","31,040.0","29,320.0","2.51M","-0.76%"
"2023- 12- 09","30,290.0","30,380.0","31,970.0","30,120.0","4.52M","-0.33%"
"2023- 12- 08","30,390.0","30,090.0","30,970.0","29,600.0","4.37M","0.86%"
"2023- 12- 07","30,130.0","27,970.0","30,690.0","27,920.0","9.34M","7.72%"
